place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
"Bolsa de Empleo del Sector Alimentario, Mercamadrid (Agencia de Zona)",Instalación accesible municipal, Zona Comercial Local 1E/1F Mercamadrid. Salida 20 de la M-40 ,"403 - Auñón, 16","Calle Auñón, 16,",2203 meters,23
CMSc Centro Municipal de Salud Comunitaria  Chamberí,Instalación accesible municipal,CALLE RAFAEL CALVO 6,125 - Fdez. de la Hoz - Gral. Martínez Campos,"Calle Fernández de la Hoz nº 29,",363 meters,27
CMSc Centro Municipal de Salud Comunitaria Arganzuela,Instalación accesible municipal,CALLE CONCEJAL BENITO MARTIN LOZANO 1,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",175 meters,19
CMSc Centro Municipal de Salud Comunitaria Carabanchel,Instalación accesible municipal,CALLE EUGENIA DE MONTIJO 90,368 - Eugenia de Montijo,"Calle Eugenia de Montijo, 57 ,",177 meters,15
CMSc Centro Municipal de Salud Comunitaria Centro,Instalación accesible municipal,CALLE NAVAS DE TOLOSA 10,23 - Santo Domingo,"Plaza de Santo Domingo nº 1,",212 meters,24
CMSc Centro Municipal de Salud Comunitaria Ciudad Lineal,Instalación accesible municipal,PLAZA DE AGUSTÍN GONZALEZ 1,485 - Francisco Villaespesa - Ledesma,"Calle Francisco Villaespesa, 37 ,",258 meters,23
CMSc Centro Municipal de Salud Comunitaria Fuencarral,Instalación accesible municipal,AVENIDA MONFORTE DE LEMOS 38,572 - Junta Mpal. Dtto. Fuencarral - El Pardo,"Avenida Monforte de Lemos, 123,",94 meters,24
CMSc Centro Municipal de Salud Comunitaria Hortaleza,Instalación accesible municipal,CALLE JUAN CLEMENTE NUÑEZ 3 frente a Silvano 157,"538 - Haendel, 8","Calle de Haendel, 8,",207 meters,27
CMSc Centro Municipal de Salud Comunitaria Latina,Instalación accesible municipal,PASEO EXTREMADURA 147,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",56 meters,24
CMSc Centro Municipal de Salud Comunitaria Puente de Vallecas,Instalación accesible municipal,CALLE CONCORDIA 15,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",212 meters,24
CMSc Centro Municipal de Salud Comunitaria Salamanca Retiro,Instalación accesible municipal,CALLE NUÑEZ DE BALBOA 40,87 - Ayala - Velázquez,"Calle Ayala nº 46,",155 meters,23
CMSc Centro Municipal de Salud Comunitaria Salud Tetuán,Instalación accesible municipal,CALLE AGUILEÑAS 1,297 - Simancas - Pinos Alta,"Calle Simancas, 2,",164 meters,23
CMSc Centro Municipal de Salud Comunitaria San Blas,Instalación accesible municipal,CALLE POBLADURA DEL VALLE 13,512 - Semilla - Aparejadores,"Calle de los Aparejadores, 24,",533 meters,24
CMSc Centro Municipal de Salud Comunitaria Usera,Instalación accesible municipal,CALLE AVENA 3 (Esquina a calle Heno),390 - Avena - Mijo,"Calle avena, 10 ,",68 meters,23
CMSc Centro Municipal de Salud Comunitaria Vicálvaro,Instalación accesible municipal,CALLE CALAHORRA 11,464 - Univ. Rey Juan Carlos - Campus Madrid,"Avenida de Daroca 321,",298 meters,24
CMSc Centro Municipal de Salud Comunitaria Villa de Vallecas,Instalación accesible municipal,CALLE SIERRA GADOR 68,440 - Metro Villa de Vallecas,"Paseo de Federico García Lorca, 2 ,",78 meters,18
CMSc Centro Municipal de Salud Comunitaria Villaverde,Instalación accesible municipal,AVENIDA FELICIDAD 17,398 - Orovilla - Felicidad,"Avenida de Orovilla, 53,",175 meters,27
Caja Municipal,Instalación accesible municipal,"CALLE BARQUILLO 17 PLANTA 3ª ENTRADA POR AUGUSTO FIGUEROA, 36",19 - Prim,"Calle Prim nº 4,",38 meters,28
Canal de Isabel II,Instalación accesible municipal,CALLE SANTA ENGRACIA 125,129 - Metro Alonso Cano,"Calle de José Abascal, 33-35 ,",306 meters,27
Carabanchel. Unidad de Participación Ciudadana y Cooperación Público Social,Instalación accesible municipal,PLAZA CARABANCHEL 1 Junta Municipal del Distrito de Carabanchel,369 - Junta Municipal Distrito de Carabanchel,"Plaza De la Parroquia, 19 ,",44 meters,23
Casa Grande en Carabanchel,Instalación accesible municipal,CALLE MONSEÑOR OSCAR ROMERO 4,369 - Junta Municipal Distrito de Carabanchel,"Plaza De la Parroquia, 19 ,",68 meters,23
Casa Grande en Villa de Vallecas,Instalación accesible municipal,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 11,"443 - Fuentespina, 33","Calle Fuentespina, 33,",194 meters,24
"Casa de Baños. Calle Bravo Murillo, 133 (baños públicos)",Instalación accesible municipal,CALLE BRAVO MURILLO 133,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",365 meters,23
Casa de Baños. Glorieta de Embajadores (baños públicos),Instalación accesible municipal,GLORIETA EMBAJADORES 2,48 - Casa de baños Embajadores,"Glorieta de Embajadores nº 7,",9 meters,24
Casa de La Panadería,Instalación accesible municipal,PLAZA MAYOR 27,31 - Mayor,"Calle Mayor nº 16,",97 meters,27
Castillo de la Alameda,Instalación accesible municipal,CALLE ANTONIO SANCHA 1,558 - Biblioteca Pública Mpal. Gloria Fuertes,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",410 meters,23
Cementerio Civil,Instalación accesible municipal,AVENIDA DAROCA 103,492 - Metro La Almudena,"Fernando Gabriel, 2 ,",625 meters,24
Cementerio Cristo de El Pardo,Instalación accesible municipal,"CEMENTERIO CRISTO DE EL PARDO  Carretera Cristo de el Pardo, 11",592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",7670 meters,27
Cementerio Sur,Instalación accesible municipal,CALLE ILDEFONSO GONZALEZ VALENCIA 2 PUERTA PRINCIPAL,"395 - Guetaria, 84B","Calle Guetaria, 84B,",709 meters,24
Cementerio de Aravaca,Instalación accesible municipal,CAMINO ZARZUELA 26,315 - Caroli,"Calle de Caroli, 10,",1079 meters,23
Cementerio de Barajas,Instalación accesible municipal,CARRETERA CEMENTERIO NUEVO 60,565 - Metro Barajas,"Calle Playa de Riazor, 65 ,",989 meters,24
Cementerio de Canillas,Instalación accesible municipal,CALLE SILVANO 69,526 - Plaza del Liceo,"Plaza del Liceo (esquina con Calle Silvano) ,",664 meters,24
Cementerio de Canillejas,Instalación accesible municipal,CALLE NECTAR 34,517 - San Mariano - Circe,"Calle de San Mariano, 52-60 ,",275 meters,27
Cementerio de Carabanchel Alto,Instalación accesible municipal,CALLE VIA LUSITANA 55,"375 - Calderilla, 4","Calle Calderilla, 4,",366 meters,27
Cementerio de El Pardo,Instalación accesible municipal,CARRETERA MINGORRUBIO  sin número,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",9039 meters,27
Cementerio de Fuencarral,Instalación accesible municipal,AVENIDA MONTECARMELO 10,589 - Monast. Silos - Monast. Montesclaros,"Avenida Monasterio de Silos, 37,",508 meters,24
Cementerio de La Almudena,Instalación accesible municipal,AVENIDA DAROCA 90,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",478 meters,24
Cementerio de Vallecas,Instalación accesible municipal,CALLE PICO DE LA CIERVA 6,440 - Metro Villa de Vallecas,"Paseo de Federico García Lorca, 2 ,",475 meters,18
Cementerio de Villaverde,Instalación accesible municipal,AVENIDA RAFAELA YBARRA 137,"409 - Eduardo Barreiros, 114","Calle Eduardo Barreiros, 114,",964 meters,23
Central del SAMUR Social Darío Pérez Madera,Instalación accesible municipal,CARRERA SAN FRANCISCO 10,37 - Plaza de San Francisco,"Plaza de San Francisco,",130 meters,24
Centro Comunitario Casino de la Reina,Instalación accesible municipal,CALLE CASINO 3,46 - Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",349 meters,27
Centro Comunitario Guatemala,Instalación accesible municipal,CALLE CELANOVA 2,"304 - Valle de Mena, 5","Calle Valle de Mena, 5,",347 meters,23
Centro Concertado de Atención a las Adicciones (CCAD) Cáritas Madrid,Instalación accesible municipal,CALLE SANTA HORTENSIA 1,293 - Santa Rita - Clara del Rey,"Calle Santa Rita, 1 ,",225 meters,23
Centro Concertado de adicciones (CCAD) Centro (Cruz Roja),Instalación accesible municipal,CALLE HERMANOS ALVAREZ QUINTERO 3,8 - Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",235 meters,24
Centro Cultural - Centro Socio Cultural Villa de Barajas,Instalación accesible municipal,CALLE BOTICA 7 y 10,567 - Plaza Mayor de Barajas,"Plaza Mayor de Barajas, 24,",94 meters,24
Centro Cultural Agustín Díaz (Moncloa - Aravaca),Instalación accesible municipal,PASEO COMANDANTE FORTEA 42,314 - Av. Valladolid - Parque de la Bombilla,"Avenida Valladolid, 47D ,",365 meters,27
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),Instalación accesible municipal,GLORIETA PRADERA DE VAQUERIZAS 9,591 - Metro Mirasierra,"Av.Ventisquero de la Condesa, 37,",600 meters,19
Centro Cultural Antonio Machado (San Blas - Canillejas),Instalación accesible municipal,CALLE SAN ROMAN DEL VALLE 8,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",325 meters,23
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),Instalación accesible municipal,AVENIDA ARCENTALES 4,"505 - Castillo de Uclés, 37","Calle Castillo de Ucles, 37,",247 meters,24
Centro Cultural Buero Vallejo (San Blas - Canillejas),Instalación accesible municipal,CALLE BOLTAÑA 27,499 - Biblioteca Pública Municipal Canillejas,"Calle Alcala, 590,",286 meters,23
Centro Cultural Carril del Conde (Hortaleza),Instalación accesible municipal,CALLE CARRIL DEL CONDE 57,523 - Carretera de Canillas,"Calle carretera de canillas, 17 ,",483 meters,23
Centro Cultural Casa de Vacas (Retiro),Instalación accesible municipal,PASEO COLOMBIA 1,102 - Metro Retiro,"Calle Alcalá nº 95,",310 meters,23
Centro Cultural Casa del Reloj (Arganzuela),Instalación accesible municipal,PASEO CHOPERA 6,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",49 meters,23
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),Instalación accesible municipal,AVENIDA SEPTIMA 11,507 - Seis - Sexta,"Calle Seis (esquina con Avenida Quinta),",178 meters,24
Centro Cultural Clara del Rey - Museo ABC (Centro),Instalación accesible municipal,CALLE AMANIEL 29 y 31,13 - Conde Duque,"Calle Conde Duque nº 22,",108 meters,23
Centro Cultural Dotacional Integrado Arganzuela,Instalación accesible municipal,CALLE CANARIAS 17,120 - Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",119 meters,27
Centro Cultural Eduardo Úrculo (Tetuán),Instalación accesible municipal,PLAZA DONOSO 5,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",107 meters,23
Centro Cultural El Plantío (Moncloa - Aravaca),Instalación accesible municipal,CALLE JOSE LOMBANA IGLESIAS 4,315 - Caroli,"Calle de Caroli, 10,",4794 meters,23
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),Instalación accesible municipal,AVENIDA GLORIETAS 19 y 21. Entrada por la Plaza del Padre Llanos,419 - Estación de tren de El Pozo,"Calle Puerto de Balbarán, 10,",574 meters,27
Centro Cultural Emilia Pardo Bazán (Salamanca),Instalación accesible municipal,CALLE GOYA 1 Subterráneo,93 - Plaza de Margaret Tatcher,"Calle Goya (esquina calle Marqués de Zurgeña),",33 meters,23
Centro Cultural Federico Chueca (Hortaleza),Instalación accesible municipal,CALLE BENITA AVILA 23,523 - Carretera de Canillas,"Calle carretera de canillas, 17 ,",388 meters,23
Centro Cultural Fernando Lázaro Carreter (Carabanchel),Instalación accesible municipal,CALLE VERDAD 29,358 - Verdad,"Calle de la Verdad, 29,",21 meters,23
Centro Cultural Fernando de los Ríos (Latina),Instalación accesible municipal,CALLE CAMARENA 10 B,331 - Valmojado,"Calle Valmojado, 33 ,",203 meters,24
Centro Cultural Fuente de San Pedro - Valderrivas (Vicálvaro),Instalación accesible municipal,CALLE TITANIO 5,468 - Caños de San Pedro - San Cipriano,"Calle Caños de San Pedro, 12,",132 meters,23
Centro Cultural Galileo (Chamberí),Instalación accesible municipal,CALLE GALILEO 39,127 - Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",224 meters,27
Centro Cultural Gloria Fuertes (Barajas),Instalación accesible municipal,AVENIDA LOGRO&amp;Ntilde;O 179,558 - Biblioteca Pública Mpal. Gloria Fuertes,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",74 meters,23
Centro Cultural Hortaleza,Instalación accesible municipal,CALLE SANTA VIRGILIA 15,531 - Metro Parque de Santa María,"Calle de Santa Virgilia, 6,",337 meters,23
Centro Cultural Huerta de la Salud (Hortaleza),Instalación accesible municipal,CALLE MAR DE LAS ANTILLAS 8,531 - Metro Parque de Santa María,"Calle de Santa Virgilia, 6,",302 meters,23
Centro Cultural José Luis Sampedro (Latina),Instalación accesible municipal,CALLE CASTROSERNA 4,"328 - Cebreros, 97","Calle de Cebreros, 97 ,",419 meters,23
Centro Cultural Juan Genovés (Moncloa - Aravaca),Instalación accesible municipal,TRAVESIA CA&amp;Ntilde;O 5,315 - Caroli,"Calle de Caroli, 10,",192 meters,23
Centro Cultural Julio Cortázar (Moncloa - Aravaca),Instalación accesible municipal,CALLE ANTONIO MACHADO 20,"317 - Antonio Machado, 30","Calle Antonio Machado, 30,",221 meters,27
Centro Cultural La Vaguada (Fuencarral - El Pardo),Instalación accesible municipal,AVENIDA MONFORTE DE LEMOS 38,572 - Junta Mpal. Dtto. Fuencarral - El Pardo,"Avenida Monforte de Lemos, 123,",162 meters,24
Centro Cultural Las Californias (Retiro),Instalación accesible municipal,CALLE LUIS PEIDRO 2,180 - Estación Sur Méndez Álvaro B,"Calle Retama (esquina con calle Acanto),",490 meters,23
Centro Cultural Lavapiés (Centro),Instalación accesible municipal,CALLE OLIVAR 46,43 - Jesús y María,"Calle Jesús y María, 38 ,",115 meters,18
Centro Cultural Lope de Vega (Puente de Vallecas),Instalación accesible municipal,CALLE CONCEJO DE TEVERGA 1,418 - Puerto de Arlabán - San Diego,"Calle Puerto de Arlabán, 83 ,",485 meters,27
Centro Cultural Los Rosales (Villaverde),Instalación accesible municipal,AVENIDA LOS ROSALES 133,"403 - Auñón, 16","Calle Auñón, 16,",44 meters,23
Centro Cultural Mercado de Ibiza (Retiro),Instalación accesible municipal,CALLE IBIZA 8 PLANTA 1ª,181 - Ibiza - Narváez,"Calle Ibiza nº 16,",104 meters,27
Centro Cultural Meseta de Orcasitas (Usera),Instalación accesible municipal,PLAZA ASOCIACION 1,"396 - Gran Avenida, 27","Gran Avenida, 27,",70 meters,24
Centro Cultural Miguel Hernández (Latina),Instalación accesible municipal,CALLE SERRADILLA 13,"336 - Calle Oliva de Plasencia, 1","Calle Oliva de Plasencia, 1,",317 meters,24
Centro Cultural Nicolás Salmerón (Chamartín),Instalación accesible municipal,CALLE MANTUANO 51,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",356 meters,23
Centro Cultural Orcasur (Usera),Instalación accesible municipal,PLAZA PUEBLO 2,385 - Estación de tren Orcasitas,"Calle Campotejar , 25,",313 meters,23
Centro Cultural Príncipe de Asturias (Ciudad Lineal),Instalación accesible municipal,CALLE HERMANOS GARCIA NOBLEJAS 14,477 - Metro Ciudad Lineal,"Calle de los Misterios, 2 ,",322 meters,23
Centro Cultural Puerta de Toledo (Centro),Instalación accesible municipal,AVENIDA GRAN VIA DE SAN FRANCISCO 2,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",121 meters,19
Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),Instalación accesible municipal,CALLE ENRIQUE D'ALMONTE 1,185 - Parque Quinta de la Fuente del Berro,"Calle Sancho Dávila, 35 ,",469 meters,24
Centro Cultural San Francisco La Prensa (Carabanchel),Instalación accesible municipal,CALLE ALISEDA 4,367 - Metro San Francisco,"Calle Albox, 35 ,",474 meters,23
Centro Cultural San Juan Bautista (Ciudad Lineal),Instalación accesible municipal,CALLE SAN NEMESIO 4,528 - Albelda - Torrelaguna,"Calle Albelda, 6,",420 meters,24
Centro Cultural Sanchinarro (Hortaleza),Instalación accesible municipal,CALLE PRINCESA DE EBOLI 29,"550 - Príncipe Carlos, 54","Calle del Príncipe Carlos, 54 ,",560 meters,23
Centro Cultural Sara Montiel (Latina),Instalación accesible municipal,CARRETERA BOADILLA DEL MONTE 40,"335 - Cardaño, 10","Plaza Patricio, 5 ,",688 meters,24
Centro Cultural Usera 1,Instalación accesible municipal,AVENIDA RAFAELA YBARRA 49,391 - Junta Municipal Distrito de Usera,"Calle Rafaela Ybarra, 22,Comunidad de Madrid España",87 meters,23
Centro Cultural Zazuar (Villa de Vallecas),Instalación accesible municipal,CALLE ZAZUAR 4,442 - Santa Eugenia - Zazuar,"Avenida de Santa Eugenia con Calle sauzal, 1 ,",171 meters,27
Centro Cultural el Madroño (Vicálvaro),Instalación accesible municipal,CALLE VILLARDONDIEGO 36,467 - Univ. Rey Juan Carlos - Facultad  CJS,"467 -  Calle Villardondiego  nº32,",139 meters,24
Centro Cultural el Torito (Moratalaz),Instalación accesible municipal,AVENIDA MORATALAZ 130,219 - Camino de los Vinateros B,"Camino de los Vinateros, 108 ,",330 meters,18
Centro Cultural la Elipa (Ciudad Lineal),Instalación accesible municipal,CALLE SANTA FELICIDAD 39,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",254 meters,24
Centro Deportivo Municipal Alcántara,Instalación accesible municipal,CALLE ALCANTARA 26,89 - Ayala - Conde de Peñalver,"Calle Ayala nº 104,",205 meters,23
Centro Deportivo Municipal Alfredo Goyeneche,Instalación accesible municipal,CALLE ARROYO DE POZUELO 99,310 - Estación de tren de Aravaca,"Calle Rosas de Aravaca, s/n ,",471 meters,23
Centro Deportivo Municipal Aluche,Instalación accesible municipal,AVENIDA DE LAS AGUILAS 14,347 - Est. tren Mtra Justa Freire-Poli Aluche,"Avenida de las Aguilas, 27 ,",575 meters,24
Centro Deportivo Municipal Antiguo Canódromo,Instalación accesible municipal,CALLE VIA CARPETANA 57,323 - Centro Deportivo Municipal Gallur,"Calle Gallur, 5,",90 meters,23
Centro Deportivo Municipal Antonio Díaz Miguel,Instalación accesible municipal,CALLE JOAQUIN DICENTA 1,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",311 meters,23
Centro Deportivo Municipal Barajas,Instalación accesible municipal,AVENIDA LOGROÑO 70,562 - Tomillar - Tintín y Milú,"Calle Tomillar, 18 ,",365 meters,27
Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),Instalación accesible municipal,CALLE MONSEÑOR OSCAR ROMERO 41,360 - Ntra. Sra. Fátima - Ntra. Sra. de Luz,"Avenida Nuestra Señora de Fatima, 34,",249 meters,23
Centro Deportivo Municipal Casa de Campo,Instalación accesible municipal,PASEO PUERTA DEL ANGEL 7,320 - Metro Lago,"Paseo de la Puerta del Ángel, 10 ,",146 meters,19
Centro Deportivo Municipal Cea Bermúdez,Instalación accesible municipal,CALLE CEA BERMUDEZ 3,201 - Metro Canal,"Calle José Abascal, 2 ,",254 meters,23
Centro Deportivo Municipal Centro Integrado Arganzuela,Instalación accesible municipal,CALLE CANARIAS 17,120 - Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",168 meters,27
Centro Deportivo Municipal Cerro Almodóvar,Instalación accesible municipal,CALLE CERRO DE ALMODOVAR 9,442 - Santa Eugenia - Zazuar,"Avenida de Santa Eugenia con Calle sauzal, 1 ,",325 meters,27
